URL,Image Name,Caption,Inset
https://timesofmalta.com/articles/view/history-canaltunnel-proposals-connect-grand-harbour-marsamxett.1029302,img00000.jpg,"Governor Sir William Reid, whose vision to connect the two harbours via a tunnel close to the Valletta land front was botched by Stephenson, who advised that Bonavia&rsquo;s location for a canal was better suited across Blata il-Bajda Ridge. Courtesy: Wikipedia",False
https://timesofmalta.com/articles/view/history-canaltunnel-proposals-connect-grand-harbour-marsamxett.1029302,img00001.jpg,"Reid&rsquo;s proposed straight tunnel linking the two harbours just off the Valletta land front, marked on an 1879 French sea chart based on Graves and Spratt's 1860 surveys was discarded for Bonavia&rsquo;s route close to the Floriana lines. Author&rsquo;s collection",False
https://timesofmalta.com/articles/view/history-canaltunnel-proposals-connect-grand-harbour-marsamxett.1029302,img00002.jpg,"A tranquil view of the head of Piet&agrave; Creek in the late 1800s, the exit/entry point for vessels of the proposed canal which never came to fruition. Courtesy: Richard Ellis",False
https://timesofmalta.com/articles/view/history-canaltunnel-proposals-connect-grand-harbour-marsamxett.1029302,img00003.jpg,"The 1857 proposed canal route across Blata Il-Bajda starting from the Menqa, close to today&rsquo;s ERA&rsquo;s offices, drawn by the author over a current survey sheet, skirting Spencer&rsquo;s Monument, St Joseph School and Ta&rsquo; Braxia cemetery, ending at Piet&agrave; Creek.",False
https://timesofmalta.com/articles/view/history-canaltunnel-proposals-connect-grand-harbour-marsamxett.1029302,img00004.jpg,The shortest route across the Floriana/Blata Il-Bajda &lsquo;isthmus&rsquo; marked on Smyth&rsquo;s 1822/3 Admiralty Chart. The Turks probably used this route to carry boats from Marsamxett to Grand Harbour during the 1565 Great Siege. Courtesy National Library of Malta,False
https://timesofmalta.com/articles/view/history-canaltunnel-proposals-connect-grand-harbour-marsamxett.1029302,img00005.jpg,"A 19th-century inset map showing the position of the new dock and the general direction of the canal route to Piet&agrave; Creek according to contemporary proposals, stultifying the chances of implementing the canal scheme. Photo: Author&rsquo;s Collection",True
https://timesofmalta.com/articles/view/history-canaltunnel-proposals-connect-grand-harbour-marsamxett.1029302,img00006.jpg,"Portrait of Governor Sir John Gaspard Le Marchant, Reid&rsquo;s successor, whose support for the new dock proposal in the Menqa along the line of the intended canal spelt the death knell of the harbours&rsquo; sea link. Courtesy: Wikipedia",False
https://timesofmalta.com/articles/view/history-canaltunnel-proposals-connect-grand-harbour-marsamxett.1029302,img00007.jpg,"Plan of the proposed new dock in the Menqa, which scheme sparked the ire of the mercantile community, fearing further encroachment in mercantile waters by British warships. Courtesy: National Archives, Rabat",False
https://timesofmalta.com/articles/view/history-canaltunnel-proposals-connect-grand-harbour-marsamxett.1029302,img00008.jpg,"A pre-1912 photograph of the Menqa, the northwest basin, showing the slipway in the foreground, which was the location of the new Marsa dock, later abandoned after works had started in 1862. Courtesy: Richard Ellis",False
https://timesofmalta.com/articles/view/history-canaltunnel-proposals-connect-grand-harbour-marsamxett.1029302,img00009.jpg,"A portrait of Sir Charles van Straubenzee, under whose governorship another canal was proposed, this time by civil engineer John Scott Tucker on behalf of the Royal Navy, again debated in the Council of Government following Tucker&rsquo;s 1872 detailed report.",False
